short_name,long_name,overall,potential,value,positions,position,nationality,age,height,weight,club,wage,release,club_position,end,jersey number,start,foot,national_position,national_number
D. Brooks,David Brooks,76,79,10000000,"RW,RM",CAM,Wales,24,180,62,AFC Bournemouth,42000,20800000,RES,2026,7,2018,Left,-,-
S. Blanco,Sebastián Blanco,76,76,3500000,"CAM,LM",CAM,Argentina,34,170,68,Portland Timbers,9000,5300000,LM,2023,10,2022,Right,-,-
Zaldúa,Joseba Zaldúa Bengoetxea,76,76,6500000,RB,RB,Spain,30,174,69,Cádiz CF,26000,13700000,RB,2025,2,2022,Right,-,-
Ł. Skorupski,Łukasz Skorupski,76,76,4000000,GK,GK,Poland,31,187,84,Bologna,23000,6800000,GK,2025,28,2018,Right,SUB,12
J. Baumgartlinger,Julian Baumgartlinger,76,76,2600000,"CDM,CM",CDM,Austria,34,181,85,FC Augsburg,25000,4700000,SUB,2023,14,2022,Right,-,-
Aridane,Aridane Hernández Umpiérrez,76,76,3600000,CB,CB,Spain,33,186,77,CA Osasuna,24000,7600000,SUB,2023,23,2017,Right,-,-
L. Cooper,Liam Cooper,76,76,6000000,CB,CB,Scotland,30,187,73,Leeds United,34000,11400000,SUB,2024,6,2014,Left,SUB,16
A. Westwood,Ashley Westwood,76,76,5000000,"CDM,CM",CDM,England,32,175,73,Burnley,38000,9500000,RES,2023,18,2017,Right,-,-
B. Dost,Bas Dost,76,76,4800000,ST,ST,Netherlands,33,196,83,FC Utrecht,18000,7200000,ST,2023,28,2022,Right,-,-
A. Budimir,Ante Budimir,76,76,7500000,ST,ST,Croatia,30,190,75,CA Osasuna,29000,15800000,ST,2025,17,2021,Left,SUB,7
M. Isla,Mauricio Isla,76,76,2800000,RB,RB,Chile,34,176,75,Universidad Católica,11000,3900000,RB,2024,4,2022,Right,-,-
A. Ramsey,Aaron Ramsey,76,76,6000000,"CM,CAM",CM,Wales,31,183,76,OGC Nice,38000,11400000,CM,2023,16,2022,Right,CM,10
G. Kakuta,Gaël Kakuta,76,76,6000000,CAM,CAM,Congo DR,31,173,72,Racing Club de Lens,30000,11400000,SUB,2023,10,2021,Left,-,-
P. van Aanholt,Patrick van Aanholt,76,76,5500000,LB,LB,Netherlands,31,176,67,Galatasaray SK,51000,10500000,LB,2024,3,2021,Left,-,-
G. Escalante,Gonzalo Escalante,76,76,6500000,"CDM,CM",CDM,Argentina,29,182,76,US Cremonese,40000,0,CM,2023,32,2020,Right,-,-
B. Meling,Birger Meling,76,77,8000000,LB,LB,Norway,27,173,67,Stade Rennais FC,37000,15800000,LB,2024,25,2021,Left,LB,5
B. Santamaria,Baptiste Santamaria,76,77,8500000,"CM,CDM",CM,France,27,183,81,Stade Rennais FC,41000,16800000,RES,2025,8,2021,Right,-,-
M. Borja,Miguel Borja,76,76,7500000,ST,ST,Colombia,29,183,87,River Plate,19000,10500000,ST,2025,9,2022,Right,-,-
L. Advíncula,Luis Advíncula,76,76,5000000,RB,RB,Peru,32,180,80,Boca Juniors,16000,7000000,RB,2024,17,2021,Right,-,-
P. Terracciano,Pietro Terracciano,76,76,3700000,GK,GK,Italy,32,193,78,Fiorentina,34000,6300000,SUB,2023,1,2019,Right,-,-
L. Robertone,Lucas Robertone,76,80,10500000,"CAM,CM,CDM",CAM,Argentina,25,175,70,Unión Deportiva Almería,24000,23900000,CAM,2025,5,2020,Right,-,-
A. Skov Olsen,Andreas Skov Olsen,76,83,15000000,"RM,CAM,RW",LM,Denmark,22,188,75,Club Brugge KV,21000,24000000,RM,2026,7,2022,Left,RW,11
P. Struijk,Pascal Struijk,76,83,14000000,"CB,CDM",CB,Netherlands,22,190,79,Leeds United,29000,29400000,LB,2024,21,2018,Left,-,-
G. Nyamsi,Gerzino Nyamsi,76,80,9500000,CB,CB,France,25,195,94,RC Strasbourg Alsace,22000,18800000,CB,2025,22,2021,Right,-,-
S. Żurkowski,Szymon Żurkowski,76,81,11500000,CM,RM,Poland,24,185,77,Fiorentina,40000,20400000,SUB,2024,27,2019,Right,SUB,21
N. Casale,Nicolò Casale,76,84,15500000,CB,CB,Italy,24,191,80,Lazio,33000,29500000,SUB,2027,15,2022,Right,-,-
B. Soumaré,Boubakary Soumaré,76,81,10500000,"CDM,CM",CM,France,23,188,82,Leicester City,52000,20700000,SUB,2026,42,2021,Right,-,-
A. Mac Allister,Alexis Mac Allister,76,82,12000000,"CAM,CM",CAM,Argentina,23,176,72,Brighton & Hove Albion,49000,25200000,CM,2023,10,2019,Right,-,-
A. Boupendza,Aaron Boupendza,76,77,9000000,"LW,ST,RW",ST,Gabon,25,180,79,Al Shabab,34000,16000000,ST,2025,9,2022,Left,-,-
O. Alderete,Omar Alderete,76,80,9500000,CB,CB,Paraguay,25,188,77,Getafe CF,25000,0,SUB,2023,15,2020,Left,-,-
Leo Baptistao,Leonardo Carrilho Baptistão,76,76,7500000,"ST,RW,RM",CF,Brazil,29,181,71,Unión Deportiva Almería,28000,16500000,SUB,2026,12,2022,Right,-,-
Ander Guevara,Ander Guevara Lajo,76,81,11500000,CM,CM,Spain,24,180,73,Real Sociedad,26000,25000000,SUB,2024,16,2017,Right,-,-
R. Yaremchuk,Roman Yaremchuk,76,79,10000000,ST,ST,Ukraine,26,193,83,Club Brugge KV,27000,14800000,SUB,2026,70,2022,Right,ST,9
M. Ojeda,Martín Ojeda,76,82,12000000,"RM,LM",CAM,Argentina,23,179,78,Godoy Cruz,10000,20400000,RM,2023,11,2020,Left,-,-
L. Dendoncker,Leander Dendoncker,76,77,8500000,CM,CDM,Belgium,27,189,88,Aston Villa,66000,16800000,SUB,2025,32,2022,Right,SUB,19
David Seijalbo,David Jefferson Seijalbo Vaz,76,76,7000000,CDM,CDM,Brazil,26,176,76,Clube Atlético Mineiro,30000,12600000,CDM,2025,10,2022,Left,-,-
Rubem Esteiro,Rubem Thomas Esteiro Branco,76,76,3500000,"RM,CM",RM,Brazil,34,179,77,Palmeiras,35000,6300000,SUB,2025,2,2022,Right,-,-
Nicolás Filhei,Nicolás Evandro Filheiro Stein,76,76,8000000,"CM,CAM",CAM,Brazil,26,172,69,Palmeiras,35000,14400000,CDM,2025,8,2022,Right,-,-
Óscar,Óscar Rodríguez Arnaiz,76,81,11500000,"CM,RM,LM",CAM,Spain,24,174,67,RC Celta de Vigo,22000,0,RM,2023,5,2020,Right,-,-
E. Dennis,Emmanuel Dennis,76,80,11000000,"ST,LW,RW",ST,Nigeria,24,175,66,Nottingham Forest,52000,21700000,SUB,2026,25,2022,Right,-,-
C. Ejuke,Chidera Ejuke,76,81,11500000,"LM,RM",RM,Nigeria,24,176,72,Hertha BSC,25000,21600000,LW,2024,40,2020,Right,-,-
F. Niță,Florin Niță,76,76,0,GK,GK,Romania,34,184,78,Free agent,0,0,-,-,-,2018,Right,GK,1
C. Rodríguez,Carlos Rodríguez,76,81,0,"CAM,CM",CAM,Mexico,25,171,64,Free agent,0,0,-,-,-,2022,Right,SUB,8
M. Moreno,Marcelino Moreno,76,77,8500000,"CAM,CM,LW",CAM,Argentina,27,168,65,Atlanta United,9000,13400000,SUB,2024,10,2020,Right,-,-
G. Konan,Ghislain Konan,76,78,8500000,"LB,LWB",LB,Côte d'Ivoire,26,176,71,Al Nassr,33000,15100000,LB,2025,87,2022,Left,-,-
E. Eze,Eberechi Eze,76,81,11500000,"CAM,CM,LM",CAM,England,24,178,67,Crystal Palace,42000,22700000,CM,2025,10,2020,Right,-,-
Marc Roca,Marc Roca Junqué,76,79,9000000,"CDM,CM",CM,Spain,25,184,77,Leeds United,33000,17800000,CDM,2026,8,2022,Left,-,-
E. Barco,Esequiel Barco,76,82,12000000,"LM,ST",CAM,Argentina,23,167,66,River Plate,8000,0,LM,2023,21,2018,Right,-,-
J. Mateta,Jean-Philippe Mateta,76,79,10000000,ST,ST,France,25,192,88,Crystal Palace,51000,19800000,SUB,2026,14,2022,Right,-,-
R. Koch,Robin Koch,76,80,9500000,"CB,CDM",CB,Germany,25,191,83,Leeds United,33000,18800000,CB,2024,5,2020,Right,-,-
F. Medina,Facundo Medina,76,79,9000000,CB,CB,Argentina,23,184,77,Racing Club de Lens,24000,17800000,CB,2024,14,2020,Left,-,-
J. Kluivert,Justin Kluivert,76,81,11500000,"LW,LM,RM",CAM,Netherlands,23,172,66,Valencia CF,50000,0,SUB,2023,9,2018,Right,-,-
K. Bare,Keidi Bare,76,81,10500000,"CDM,CM",CDM,Albania,24,174,66,RCD Espanyol de Barcelona,15000,22800000,SUB,2024,8,2020,Right,-,-
E. Bardhi,Enis Bardhi,76,76,8000000,"LM,CM,RM",LM,North Macedonia,26,172,64,Trabzonspor,34000,15200000,SUB,2025,29,2022,Right,-,-
A. Maier,Arne Maier,76,82,12000000,"CM,CDM",CM,Germany,23,186,79,FC Augsburg,23000,24000000,SUB,2025,10,2022,Right,-,-
N. Bajrami,Nedim Bajrami,76,85,16500000,"CAM,CF",CAM,Albania,23,179,68,Empoli,11000,33000000,CAM,2024,10,2020,Right,-,-
N. Domínguez,Nicolás Domínguez,76,82,12000000,"CM,CDM",CM,Argentina,24,179,73,Bologna,27000,22800000,CM,2024,8,2019,Right,-,-
Pierrino Faria,Pierre Tomás Torres De Faria,76,76,825000,GK,GK,Brazil,38,190,82,Santos,13000,1600000,GK,2025,39,2022,Right,-,-
Nelsildo Reis,Nelson Arturo Reis Lopes,76,79,8000000,GK,GK,Brazil,22,190,88,Ceará Sporting Club,9000,15800000,GK,2025,1,2022,Right,-,-
Fred Aníbão,Fred Marcos Aníbal Dias,76,76,5000000,GK,GK,Brazil,30,192,90,Club Athletico Paranaense,12000,9500000,GK,2025,1,2022,Right,-,-
Trezeguet,Mahmoud Hassan,76,76,8000000,"LW,RW,RM",LW,Egypt,27,180,71,Trabzonspor,37000,15200000,LW,2026,27,2022,Right,-,-
R. Oxford,Reece Oxford,76,81,10000000,"CB,CDM,RB",CB,England,23,193,86,FC Augsburg,21000,18800000,SUB,2023,4,2019,Right,-,-
E. Bailly,Eric Bailly,76,77,7000000,CB,CB,Côte d'Ivoire,28,186,77,Olympique de Marseille,83000,0,CB,2023,3,2016,Right,-,-
N. Amiri,Nadiem Amiri,76,79,10000000,"CAM,CM",CAM,Germany,25,180,77,Bayer 04 Leverkusen,42000,17800000,RES,2024,11,2019,Right,-,-
J. Bamba,Jonathan Bamba,76,77,9000000,LM,LM,France,26,175,72,LOSC Lille,30000,17800000,LM,2023,7,2018,Right,-,-
I. Provedel,Ivan Provedel,76,77,6000000,GK,GK,Italy,28,192,84,Lazio,33000,10700000,GK,2027,94,2022,Right,-,-
O. Pineda,Orbelín Pineda,76,77,9000000,"LW,CM,RW",LW,Mexico,26,169,63,AEK Athens,1000,20500000,CM,2027,13,2022,Right,SUB,21
E. Boateng,Emmanuel Boateng,76,79,10000000,"ST,LM",ST,Ghana,26,175,70,Rio Ave FC,12000,21800000,LM,2024,22,2022,Right,-,-
R. Kent,Ryan Kent,76,79,10000000,LW,RM,England,25,172,65,Rangers FC,51000,18800000,LW,2023,14,2019,Right,-,-
Z. Çelik,Zeki Çelik,76,79,9000000,"RWB,RM,RB",RWB,Turkey,25,180,78,Roma,45000,16000000,SUB,2026,19,2022,Right,-,-
Sergio Rico,Sergio Rico González,76,78,6500000,GK,GK,Spain,28,196,90,Paris Saint-Germain,49000,12500000,RES,2024,16,2020,Right,-,-
Moi Gómez,Moisés Gómez Bordonado,76,76,7500000,"LM,RM",LM,Spain,28,176,73,CA Osasuna,28000,15800000,LM,2027,16,2022,Right,-,-
Y. Abdelhamid,Yunis Abdelhamid,76,76,2400000,CB,CB,Morocco,34,190,83,Stade de Reims,21000,4800000,CB,2024,5,2017,Left,-,-
M. Stevanović,Miroslav Stevanović,76,76,6000000,"RW,RM",RW,Bosnia and Herzegovina,31,180,72,Servette FC,21000,8700000,RW,2025,9,2017,Right,-,-
S. Prcić,Sanjin Prcić,76,76,6500000,"CDM,CM",CDM,Bosnia and Herzegovina,28,181,75,RC Strasbourg Alsace,24000,12400000,CDM,2025,14,2019,Right,-,-
M. De Sciglio,Mattia De Sciglio,76,76,6500000,"RB,LB",RB,Italy,29,182,78,Juventus,75000,11100000,SUB,2025,2,2017,Right,-,-
Pere Milla,Pere Milla Peña,76,76,7500000,"ST,LM,RM",ST,Spain,29,184,72,Elche CF,23000,16500000,ST,2025,10,2019,Left,-,-
C. Adams,Ché Adams,76,78,9500000,ST,ST,Scotland,25,178,70,Southampton,51000,18800000,ST,2024,10,2019,Right,ST,10
Antonaldinho,Antonaldo David Machado Chagas,76,76,2400000,CB,CB,Brazil,34,188,82,Clube Atlético Mineiro,30000,4300000,CB,2025,4,2022,Right,-,-
T. Kehrer,Thilo Kehrer,76,79,9000000,"CB,RB",CB,Germany,25,186,76,West Ham United,50000,17800000,CB,2026,24,2022,Right,RB,4
Lúcio Corteijo,Lúcio Anselmo Corteijo Salazar,76,76,2800000,RB,RB,Brazil,34,175,71,América Futebol Clube,16000,5300000,RB,2025,14,2022,Right,-,-
Silas Almeim,Silas Enaldo Barros de Almeida,76,76,6500000,"LB,LM",LB,Brazil,30,177,76,Ceará Sporting Club,13000,12400000,LB,2025,5,2022,Left,-,-
A. Lunev,Andrey Lunev,76,76,5000000,GK,GK,Russia,30,190,82,Bayer 04 Leverkusen,32000,8500000,SUB,2023,40,2021,Right,-,-
Rubén Alcaraz,Rubén Alcaraz Jiménez,76,76,6000000,"CM,CDM",CDM,Spain,31,180,82,Cádiz CF,28000,12600000,CM,2024,4,2022,Right,-,-
Fali,Rafael Jiménez Jarque,76,77,7000000,"CB,CDM,CM",CB,Spain,28,186,84,Cádiz CF,27000,15200000,CB,2024,3,2019,Right,-,-
V. Pavlidis,Vangelis Pavlidis,76,82,12000000,ST,ST,Greece,23,185,82,AZ Alkmaar,11000,20400000,ST,2025,9,2021,Right,-,-
L. García,Levi García,76,80,11000000,RW,CAM,Trinidad and Tobago,24,182,86,AEK Athens,1000,25000000,SUB,2025,7,2020,Left,-,-
M. Svanberg,Mattias Svanberg,76,81,11500000,"CM,CDM",CM,Sweden,23,185,77,VfL Wolfsburg,35000,20400000,CDM,2027,32,2022,Right,SUB,19
O. Idrissi,Oussama Idrissi,76,77,9000000,LW,LW,Morocco,26,175,78,Feyenoord,13000,14200000,LW,2023,26,2022,Right,-,-
L. Martínez Quarta,Lucas Martínez Quarta,76,79,8500000,CB,CB,Argentina,26,183,78,Fiorentina,42000,15100000,CB,2025,28,2020,Right,-,-
G. Prömel,Grischa Prömel,76,77,8500000,"CM,CDM",CM,Germany,27,184,81,TSG Hoffenheim,32000,15100000,CM,2026,6,2022,Right,-,-
Matheus Pereira,Matheus Fellipe Costa Pereira,76,79,10000000,"CAM,CM,RW",CAM,Brazil,26,176,80,Al Hilal,36000,17800000,SUB,2026,15,2021,Left,-,-
J. St. Juste,Jeremiah St. Juste,76,80,9500000,"CB,RB",RB,Netherlands,25,186,76,Sporting CP,12000,19700000,SUB,2026,3,2022,Right,-,-
Rubén Duarte,Rubén Duarte Sánchez,76,79,9000000,LB,CB,Spain,26,179,72,Deportivo Alavés,12000,15100000,LB,2023,3,2017,Left,-,-
G. Martínez,Gonzalo Martínez,76,76,7500000,"RM,CAM,LM",LW,Argentina,29,172,75,Al Nassr,38000,12800000,RM,2024,10,2020,Left,-,-
W. Zimmerman,Walker Zimmerman,76,77,7000000,CB,CB,United States,29,191,89,Nashville SC,9000,11000000,CB,2022,25,2020,Right,CB,3
M. Boselli,Mauro Boselli,76,76,2600000,ST,ST,Argentina,37,181,70,Estudiantes de La Plata,12000,3900000,ST,2022,17,2022,Right,-,-
Y. Gerhardt,Yannick Gerhardt,76,76,7500000,CM,CM,Germany,28,184,81,VfL Wolfsburg,42000,12800000,SUB,2025,31,2016,Left,-,-
M. Olise,Michael Olise,76,86,16500000,"RW,RM,CAM",CAM,France,20,178,68,Crystal Palace,40000,34700000,SUB,2026,7,2021,Left,-,-
Sancet,Oihan Sancet Tirapu,76,85,17000000,"ST,CM,CAM",ST,Spain,22,188,72,Athletic Club de Bilbao,24000,39100000,CM,2024,8,2017,Right,-,-
Trincão,Francisco Mota Castro Trincão,76,83,15000000,"RW,RM",CAM,Portugal,22,184,76,Sporting CP,95000,0,RW,2023,17,2020,Left,-,-
M. Kudus,Mohammed Kudus,76,84,17000000,"CAM,CM,CF",CAM,Ghana,21,177,70,Ajax,12000,27200000,ST,2025,20,2020,Left,CAM,7
L. Suárez,Luis Javier Suárez,76,83,15000000,"ST,LM,CAM",ST,Colombia,24,185,74,Olympique de Marseille,34000,31500000,SUB,2025,11,2022,Right,-,-
T. Almada,Thiago Almada,76,87,17000000,"CAM,LW,RW",CAM,Argentina,21,171,62,Atlanta United,7000,28900000,CM,2025,8,2022,Right,-,-
Óscar Gil,Óscar Gil Regaño,76,81,10500000,RB,RWB,Spain,24,173,70,RCD Espanyol de Barcelona,15000,22800000,RB,2024,2,2020,Right,-,-
R. Sottil,Riccardo Sottil,76,81,11500000,"LW,RW",CAM,Italy,23,180,75,Fiorentina,44000,20400000,LW,2026,33,2018,Right,-,-
M. Solomon,Manor Solomon,76,85,17000000,"LM,RM,CAM",CAM,Israel,22,170,67,Fulham,900,0,SUB,2023,11,2019,Right,-,-
Carlos Neva,Carlos Neva Tey,76,79,9000000,"LB,LM",LB,Spain,26,174,64,Granada CF,11000,15100000,SUB,2025,15,2017,Left,-,-
Edgar,Edgar González Estrada,76,80,9500000,"CB,CDM",CB,Spain,25,193,78,Real Betis Balompié,20000,20700000,CB,2025,3,2018,Right,-,-
K. Kvaratskhelia,Khvicha Kvaratskhelia,76,88,18500000,"LW,CAM",CAM,Georgia,21,183,70,Napoli,37000,35200000,LW,2027,77,2022,Right,-,-
Tetê,Mateus Tetê,76,86,17000000,"RW,RM",CAM,Brazil,22,175,72,Olympique Lyonnais,1000,0,RW,2023,20,2019,Left,-,-
Thierry Correia,Thierry Rendall Correia,76,82,11000000,"RB,RWB,RM",RB,Portugal,23,176,69,Valencia CF,25000,25300000,RB,2026,2,2019,Right,-,-
V. Mykolenko,Vitaliy Mykolenko,76,83,14500000,"LB,LWB",LB,Ukraine,23,180,71,Everton,29000,30500000,LWB,2026,19,2022,Left,SUB,14
Vivian,Daniel Vivian Moreno,76,83,14000000,CB,CB,Spain,22,183,83,Athletic Club de Bilbao,20000,32200000,CB,2026,3,2019,Right,-,-
L. Kalvach,Lukáš Kalvach,76,78,8500000,"CDM,CM",CDM,Czech Republic,26,183,77,FC Viktoria Plzeň,1000,19300000,CDM,2023,23,2019,Right,-,-
K. Laba,Kodjo Fo-Doh Laba,76,76,7500000,ST,ST,Togo,30,183,82,Al Ain FC,1000,16500000,ST,2024,9,2019,Right,-,-
S. Weissman,Shon Weissman,76,79,10000000,ST,ST,Israel,26,174,79,Real Valladolid CF,25000,21800000,SUB,2024,9,2020,Right,-,-
Z. Sanusi,Zaidu Sanusi,76,80,9500000,LB,LB,Nigeria,25,182,71,FC Porto,12000,19700000,LB,2025,12,2020,Left,-,-
David Carmo,David Mota Teixeira Carmo,76,85,15500000,CB,CB,Portugal,22,196,89,FC Porto,11000,34100000,SUB,2027,4,2022,Left,-,-
B. Brobbey,Brian Brobbey,76,85,16500000,ST,ST,Netherlands,20,180,78,Ajax,13000,26400000,SUB,2027,9,2022,Right,-,-
T. Pobega,Tommaso Pobega,76,85,17000000,CM,ST,Italy,22,188,78,AC Milan,45000,32299999,SUB,2027,32,2019,Left,-,-
L. Krejčí,Ladislav Krejčí,76,84,15500000,"CDM,CB,CM",CB,Czech Republic,23,190,86,AC Sparta Praha,900,37200000,RES,2025,37,2019,Left,-,-
W. Singo,Wilfried Singo,76,85,16000000,"RWB,RM",RWB,Côte d'Ivoire,21,190,79,Torino F.C.,26000,32000000,RM,2023,17,2019,Right,-,-
H. Boudaoui,Hicham Boudaoui,76,82,12000000,"RM,CM",CAM,Algeria,22,175,61,OGC Nice,33000,25200000,SUB,2023,28,2019,Right,-,-
A. Szalai,Attila Szalai,76,82,11000000,CB,CB,Hungary,24,192,83,Fenerbahçe SK,44000,23100000,CB,2025,41,2021,Left,CB,4
Vinícius,Carlos Vinícius Alves Morais,76,77,9000000,ST,ST,Brazil,27,190,83,Fulham,55000,17800000,SUB,2025,30,2022,Left,-,-
V. Buyalskyi,Vitaliy Buyalskyi,76,76,7500000,"CM,CAM",CM,Ukraine,29,170,61,Dynamo Kyiv,1000,16500000,CAM,2023,29,2010,Right,-,-
P. Wimmer,Patrick Wimmer,76,85,17000000,"RM,LM",RM,Austria,21,182,77,VfL Wolfsburg,30000,32299999,RM,2027,39,2022,Right,-,-
Igor,Igor Julio dos Santos de Paulo,76,81,10000000,CB,CB,Brazil,24,185,84,Fiorentina,36000,17800000,SUB,2024,98,2021,Left,-,-
Iuri Medeiros,Iuri José Picanço Medeiros,76,76,8000000,"CF,RW,RM",CAM,Portugal,27,174,64,SC Braga,16000,16000000,CAM,2026,45,2020,Left,-,-
J. Reynolds,Joe Reynolds,76,76,5000000,CB,CB,Republic of Ireland,31,191,87,AFC Richmond,40000,9500000,SUB,2025,20,2013,Right,-,-
E. Winchester,Emmanuel Winchester,76,78,8000000,CB,CB,Nigeria,26,191,82,AFC Richmond,40000,15800000,SUB,2024,4,2019,Right,-,-
T. Zoreaux,Thierry Zoreaux,76,77,6000000,GK,GK,Canada,28,188,86,AFC Richmond,35000,11900000,GK,2024,81,2018,Right,-,-
Miranda,Juan Miranda González,76,84,16000000,LB,LB,Spain,22,185,79,Real Betis Balompié,18000,36800000,SUB,2024,33,2021,Left,-,-
D. Ljubičić,Dejan Ljubičić,76,80,11000000,"RM,CDM",RM,Austria,24,187,74,1. FC Köln,23000,20600000,CAM,2025,7,2021,Right,SUB,17
T. Mitchell,Tyrick Mitchell,76,83,14500000,LB,LB,England,22,180,70,Crystal Palace,38000,30500000,LB,2025,3,2017,Left,-,-
N. Tenaglia,Nahuel Tenaglia,76,79,9000000,"RB,CB",RB,Argentina,26,181,70,Deportivo Alavés,15000,0,RB,2023,14,2017,Right,-,-
Y. Belaïli,Youcef Belaïli,76,76,7000000,"LM,CAM",LM,Algeria,30,178,75,Stade Brestois 29,23000,14000000,CAM,2023,31,2022,Right,-,-
M. Damsgaard,Mikkel Damsgaard,76,85,17000000,"LM,LW",CAM,Denmark,21,180,71,Brentford,33000,35700000,SUB,2027,24,2022,Right,SUB,14
Mauro Júnior,Mauro Jaqueson J. Ferreira Santos,76,82,11000000,"RB,LB,CAM",LM,Brazil,23,171,62,PSV,14000,17600000,RB,2025,17,2017,Left,-,-
J. Wind,Jonas Wind,76,82,12000000,"ST,CF",ST,Denmark,23,190,82,VfL Wolfsburg,38000,22800000,SUB,2026,23,2022,Right,SUB,19
P. Gueye,Pape Gueye,76,82,11000000,"CDM,CM",CDM,Senegal,23,187,79,Olympique de Marseille,27000,23100000,SUB,2024,22,2020,Left,-,-
J. Burkardt,Jonathan Burkardt,76,84,17000000,"ST,CF,RW",ST,Germany,21,181,79,1. FSV Mainz 05,22000,32299999,ST,2024,29,2018,Right,-,-
D. Rossi,Diego Rossi,76,80,11000000,"LM,LW",CAM,Uruguay,24,170,66,Fenerbahçe SK,49000,21700000,SUB,2025,9,2021,Right,-,-
H. Morita,Hidemasa Morita,76,77,8500000,"CM,CDM",CM,Japan,27,177,69,Sporting CP,14000,17600000,CM,2026,5,2022,Right,-,-
Stephen Eustáquio,Stephen Antunes Eustáquio,76,82,10500000,"CDM,CM",CDM,Canada,25,178,67,FC Porto,12000,23100000,SUB,2027,46,2022,Right,CDM,7
C. Jones,Curtis Jones,76,84,17000000,CM,CM,England,21,185,75,Liverpool,60000,34900000,SUB,2025,17,2018,Right,-,-
C. Doucouré,Cheick Doucouré,76,78,10000000,"CM,CDM",CDM,Mali,22,180,73,Crystal Palace,42000,19800000,CDM,2026,28,2022,Right,-,-
R. Aït Nouri,Rayan Aït Nouri,76,86,16000000,"LWB,LB",LWB,France,21,180,70,Wolverhampton Wanderers,43000,33600000,LB,2026,3,2021,Left,-,-
L. Romo,Luis Romo,76,77,0,"CM,CDM",CM,Mexico,27,182,84,Free agent,0,0,-,-,-,2022,Right,SUB,7
E. Mwepu,Enock Mwepu,76,82,12000000,"CM,CAM,CDM",CM,Zambia,24,184,76,Brighton & Hove Albion,49000,25200000,SUB,2025,8,2021,Right,-,-
L. Pellegrini,Luca Pellegrini,76,82,11000000,"LB,LWB",LB,Italy,23,178,72,Eintracht Frankfurt,61000,0,LB,2023,33,2019,Left,-,-
D. McNeil,Dwight McNeil,76,81,11500000,"LM,RM",CAM,England,22,183,70,Everton,33000,22700000,SUB,2027,7,2022,Left,-,-
Catena,Alejandro Catena Marugán,76,78,8000000,CB,CB,Spain,27,194,82,Rayo Vallecano,18000,17400000,CB,2023,5,2019,Right,-,-
Jovane Cabral,Jovane Eduardo Borges Cabral,76,82,12000000,"LW,RW",RM,Cape Verde Islands,24,174,81,Sporting CP,13000,26400000,SUB,2025,77,2015,Right,-,-
A. Kalimuendo,Arnaud Kalimuendo,76,82,12000000,ST,ST,France,20,175,79,Stade Rennais FC,34000,25200000,SUB,2027,9,2022,Right,-,-
R. Zentner,Robin Zentner,76,78,7000000,GK,GK,Germany,27,194,96,1. FSV Mainz 05,20000,12400000,GK,2025,27,2017,Right,-,-
A. Stach,Anton Stach,76,82,12000000,"CM,CDM",CM,Germany,23,194,88,1. FSV Mainz 05,23000,22800000,CM,2024,6,2021,Right,-,-
C. Nørgaard,Christian Nørgaard,76,76,6500000,"CDM,CM",CDM,Denmark,28,187,77,Brentford,42000,12400000,SUB,2025,6,2019,Right,SUB,15
F. Vázquez,Franco Vázquez,76,76,4700000,"CAM,CM",CAM,Argentina,33,187,82,Parma,6000,7500000,CAM,2023,10,2021,Left,-,-
A. Webster,Adam Webster,76,79,8500000,CB,CB,England,27,191,75,Brighton & Hove Albion,51000,16800000,CB,2026,4,2019,Right,-,-
Roger,Roger Martí Salvador,76,76,6500000,ST,ST,Spain,31,179,74,Elche CF,22000,14300000,ST,2026,18,2022,Right,-,-
R. Fraser,Ryan Fraser,76,76,7500000,"RM,LM",RM,Scotland,28,163,70,Newcastle United,74000,14300000,SUB,2025,21,2020,Right,-,-
B. Traoré,Bertrand Traoré,76,76,8000000,"RM,RW",RM,Burkina Faso,26,181,73,İstanbul Başakşehir FK,66000,0,RM,2023,9,2020,Left,-,-
Paulo Otávio,Paulo Otávio Rosa da Silva,76,76,7000000,"LB,LM",LB,Brazil,27,174,68,VfL Wolfsburg,37000,11900000,LB,2023,6,2019,Left,-,-
Andreas Pereira,Andreas Hugo Hoelgebaum Pereira,76,79,10000000,"CAM,CM,RM",CAM,Brazil,26,177,70,Fulham,51000,19800000,CAM,2026,18,2022,Right,-,-
J. Gastien,Johan Gastien,76,76,2600000,CDM,CDM,France,34,179,69,Clermont Foot 63,18000,5200000,CDM,2025,25,2018,Right,-,-
F. Mollet,Florent Mollet,76,76,7000000,"RM,CAM",RM,France,30,174,68,FC Schalke 04,24000,12600000,SUB,2025,20,2022,Right,-,-
E. Mena,Eugenio Mena,76,76,3900000,"LB,LWB",LB,Chile,33,173,74,Racing Club,17000,5900000,SUB,2022,5,2018,Left,-,-
André Ramalho,André Ramalho Silva,76,76,6000000,CB,CB,Brazil,30,182,78,PSV,16000,8400000,SUB,2024,5,2021,Right,-,-
A. Hegazi,Ahmed Hegazi,76,76,5000000,CB,CB,Egypt,31,193,88,Al Ittihad,33000,8500000,CB,2023,26,2021,Right,-,-
C. Nielsen,Casper Nielsen,76,76,7500000,"CM,CDM",CM,Denmark,28,182,76,Club Brugge KV,26000,10500000,CM,2026,27,2022,Right,-,-
J. Hart,Joe Hart,76,76,825000,GK,GK,England,35,196,91,Celtic,23000,1500000,GK,2024,1,2021,Right,-,-
